GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US471570216111,471570216111,"Block Group 1, Census Tract 216.11, Shelby County, Tennessee",656,134,16,26,0,12,56,70,18,31,0,12,28,33,14,25,20,28,0,12,14,23,71,63,146,101,154,86,44,42,41,46,34,35
1500000US471570216112,471570216112,"Block Group 2, Census Tract 216.11, Shelby County, Tennessee",524,108,0,12,0,12,0,12,0,12,42,37,52,51,0,12,15,25,0,12,52,46,26,32,94,69,81,67,88,83,63,56,11,19
1500000US471570216113,471570216113,"Block Group 3, Census Tract 216.11, Shelby County, Tennessee",471,117,0,12,0,12,25,39,26,42,8,14,0,12,59,86,24,38,0,12,0,12,21,32,55,53,50,58,61,62,28,33,114,71
1500000US471570216114,471570216114,"Block Group 4, Census Tract 216.11, Shelby County, Tennessee",480,96,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,37,25,33,33,39,44,43,100,68,94,71,79,69,82,68,0,12
1500000US471570216121,471570216121,"Block Group 1, Census Tract 216.12, Shelby County, Tennessee",686,74,6,9,9,15,0,12,9,14,27,22,64,33,0,12,21,20,47,51,88,44,78,56,117,50,89,44,66,43,17,18,48,35
1500000US471570216122,471570216122,"Block Group 2, Census Tract 216.12, Shelby County, Tennessee",871,82,8,11,0,12,0,12,0,12,0,12,8,13,21,27,30,27,0,12,85,48,68,37,169,65,153,62,81,45,176,68,72,40
1500000US471570216131,471570216131,"Block Group 1, Census Tract 216.13, Shelby County, Tennessee",505,59,0,12,0,12,0,12,0,12,0,12,0,12,40,47,8,12,28,23,11,17,31,26,91,41,65,38,67,39,76,51,88,48
1500000US471570216132,471570216132,"Block Group 2, Census Tract 216.13, Shelby County, Tennessee",357,64,0,12,0,12,20,22,0,12,9,13,0,12,0,12,0,12,0,12,24,20,7,12,59,36,92,59,63,38,37,27,46,35
1500000US471570216133,471570216133,"Block Group 3, Census Tract 216.13, Shelby County, Tennessee",613,88,12,17,0,12,9,13,24,40,0,12,8,13,6,9,8,13,20,24,16,18,17,20,181,80,70,54,90,50,119,64,33,27
1500000US471570216201,471570216201,"Block Group 1, Census Tract 216.20, Shelby County, Tennessee",360,93,54,71,10,15,48,63,35,30,19,21,0,12,8,13,0,12,7,11,73,61,27,28,44,34,28,31,7,13,0,12,0,12
